,UUID,Graph,label,source,Cookies,secure,session,httponly,httponly session,no httponly session
97,1827d6b6-75e0-41f8-9b04-0671ef1cc8ce,True,1.0,OP,0,,,,,
98,b98531b7-ac13-4b4f-a20c-f185b8f35668,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
99,d79dcdf4-674c-4dad-a296-5f0439011de5,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
100,36dea430-db5c-4eea-9761-4c143befe523,True,1.0,OP,0,,,,,
101,4a19a751-74f2-4579-b424-e2df86163c80,True,1.0,OP,2,0.0,1.0,1.0,1.0,1.0
102,ed70f33a-841b-41f3-8bb6-e3f97c9ba5e9,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
103,f5ab4b52-b454-4c45-aac2-a31aa30c6db6,True,1.0,OP,0,,,,,
104,2a19a516-54c1-46e4-84f0-9c5e685c9d48,True,1.0,OP,0,,,,,
105,2055708d-6257-400f-998d-cf1e7daab10c,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
106,99a0bef0-458f-40b0-822f-24806ba88f47,True,1.0,OP,0,,,,,
107,5bece2d1-f1c5-4b77-805a-facb508ae949,True,1.0,OP,0,,,,,
108,f582af29-7ce4-46cf-8419-3a90d283fd4c,True,1.0,OP,0,,,,,
109,2f840c57-45ae-4503-9dd5-f9ef1eccd747,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
110,cde77f7a-fbe6-4213-ba40-86594f5c6b61,True,1.0,OP,0,,,,,
111,909ceab1-a79e-42c6-9451-f48a8cddea6a,True,1.0,OP,0,,,,,
112,5ecbf4f6-8608-4fcc-b291-740785411b24,True,1.0,OP,0,,,,,
113,3ab05030-92af-4610-8468-6099cbb8949e,True,1.0,OP,0,,,,,
114,1129c41e-4e10-428b-aeb7-e6bb4950ab00,True,1.0,OP,0,,,,,
115,40783989-5072-48c4-9211-92fe5090fead,True,1.0,OP,0,,,,,
116,ece2f418-1a64-49b5-bc47-9080b0505e50,True,1.0,OP,0,,,,,
117,cc771328-76b2-4361-9595-d58ff6e7621b,True,1.0,OP,2,0.0,0.0,0.0,0.0,0.0
118,c9e2f2d3-48b4-49ed-9fa4-4bef8a86f830,True,1.0,OP,0,,,,,
119,1a00414a-77b7-4d6c-a1a2-31ef9db6edc0,True,1.0,OP,2,0.0,0.0,0.0,0.0,0.0
120,039bc90a-2938-438a-9935-b85b1888c6ef,True,1.0,OP,0,,,,,
121,d477c9a6-4f65-4d9e-abd9-a1f921f15978,True,1.0,OP,0,,,,,
122,5f5979f8-0e20-4e9e-9741-2af3e368a375,True,1.0,OP,0,,,,,
123,818814f6-1cfa-4f6d-a0b4-0bf7f5a4a819,True,1.0,OP,0,,,,,
124,a7e9fe6c-74c2-46e8-8f81-af6834ab2337,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
125,8e828857-3eee-4b4a-857e-3872169c1f37,True,1.0,OP,0,,,,,
126,41d2e772-4acb-474e-84f9-096ec489dcb6,True,1.0,OP,0,,,,,
127,7d9d4d31-b445-4665-917f-b9c2e1c65005,True,1.0,OP,0,,,,,
128,f1f1d5c9-a272-40b0-ae80-e5074480ab1f,True,1.0,OP,0,,,,,
129,b80c2526-8b5e-4538-9356-1e737374e64e,True,1.0,OP,0,,,,,
130,366cdb38-a83b-45a3-8a24-5444896d0adb,True,1.0,OP,0,,,,,
131,2045e633-5c12-4637-9303-47402e31808b,True,1.0,OP,0,,,,,
