UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive
3ee936eb-3b55-469a-a614-bb32f220768c,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=precept.no/category/blogg/,0.0,0.0
7ee19ed1-9cf5-45d6-a6f2-b0482cd3f98a,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=precept.no/english/,0.0,0.0
05b406b1-48b7-431f-9350-e891932ffaaa,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=precept.no/gud-er-du-der/,0.0,0.0
88443f70-81ce-4571-a337-919dbc4588ce,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=precept.no/hvor-er-verdens-kloke-hoder/,0.0,0.0
2aa0c023-3b14-423e-9486-7d6c202bd550,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=precept.no/norske-boker/,0.0,0.0
93d4c2cc-cfe0-47d5-b441-ebc145b8b415,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=precept.no/online-bibelstudie/,0.0,0.0
64528315-f1da-43b3-a0a3-6c4f66dae430,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888?site=precept.no/robots.txt,0.0,0.0
f57c7e48-d13d-44fe-a403-bc3daafd2846,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=pregoprego.no,0.0,0.0
f99ded7b-87d7-46ea-9c1a-49da9d5ef09d,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=pregoprego.no/apningstider/,0.0,0.0
91b4e2d9-1bca-4288-ae14-5462d1bf126e,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=pregoprego.no/kontakt-oss/,0.0,0.0
