UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly
be4f3b0c-f0f1-45df-bbd9-16eaa1611540,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
e4466596-a48a-4555-a128-70947c2b8f24,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
c75a0013-740b-4b54-895f-d76185c769b8,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
d93273ea-7ddd-4dec-806d-32886cf84ba0,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
047e397d-1474-4a67-9833-94c48b09aa3f,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
4272b6c8-79ab-4958-af77-ab642053e7ed,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
3313fa8b-39f8-490e-af8c-2b0f1a4d2de7,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
b0b5e649-bffb-4d16-8125-646f871caf74,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
d95a527f-46a3-4d7a-999f-8d72df9be47d,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
90a71c41-f366-4197-9ed0-2abb4f6cb4c5,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
3904156c-b57f-4ff1-934d-fca1a675acda,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
809e8ec3-1cd3-4e39-b1e9-e68554900f5d,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
c4d90fdf-95d9-47a6-b4d5-7731e5452072,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
6ddff14a-6da9-4f81-b3d9-4836655a2399,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
a991a58d-9926-426e-b335-1d43e4d6adf2,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
24f5c6ac-c385-4d7c-bc71-5b0fe8aad11f,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
edab7865-26a4-4cb4-878b-0a79a8311137,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
710d0442-1947-4c5b-9375-83facffae312,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
578494cf-366c-47cd-966e-91fac8188428,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
d408bfc7-3e2d-42e0-9613-234685a05282,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
ce581ef4-90b4-432c-b047-00637c3775b4,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
ac197399-9c2e-420a-8a79-aae31e025cc7,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
635e00bd-8495-4127-8469-fa9d48c3b9bb,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
5e79a1d7-c59c-48c7-956a-e1ffb036130a,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
174ab49b-7b07-48d7-a596-6bda7b3e65a2,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,40.0,65.0,0.0,0.0,100.0,67.0,4.0,4.0,3.0,2.0,1746.0,2343.0,http://193.170.108.10/?p=2982,4.0,0.0,0.0
44c97632-43fb-46de-a95b-2c4980212057,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
68258f4a-f696-4286-ba44-be49729c78c4,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
0ccfbae0-848e-464d-8213-8701047b3274,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
0a497d96-d39d-4c5f-b2e5-96f319f2a09b,0.0,CC,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,99.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,357.0,352.0,http://193.179.109.10:8080/,2.0,0.0,0.0
cd8d44d8-a568-4ba3-be87-41d13fed7d99,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,http://193.179.109.10:8080/robots.txt,0.0,0.0,0.0
3f7c98ba-e5e6-446f-adb5-876d9695cd61,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,32.0,81.0,0.0,0.0,6.0,67.0,5.0,5.0,5.0,3.0,4453.0,4951.0,http://163.27.11.10/,30.0,0.0,0.0
337c8018-5b91-4246-8d68-3a92122a76dc,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,http://163.27.11.10/robots.txt,2.0,0.0,0.0
deae588a-ac52-4f0d-9ed4-82eaf35f511c,0.0,CC,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,8.0,49.0,0.0,0.0,6.0,75.0,4.0,4.0,4.0,3.0,1119.0,1355.0,http://163.27.11.10/show_hotnews.asp?pID=1582,1.0,0.0,0.0
0213822a-4984-4f21-a798-ab0be2cf84a9,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.0,50.0,0.0,0.0,6.0,75.0,4.0,4.0,4.0,3.0,1070.0,1304.0,http://163.27.11.10/show_hotnews.asp?pID=1860,1.0,0.0,0.0
66bd986e-a862-43c2-9ffa-7cefe53f698b,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=1955,0.0,0.0,0.0
8c59f846-9a47-497e-8ee9-2ec7e999f6db,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=1956,0.0,0.0,0.0
8222757e-b9c3-42ce-bf52-a1d4bfeb373a,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=1978,0.0,0.0,0.0
25660539-9519-4ac5-8aac-ae73f6726b9c,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
8bd9b260-4d7d-4eeb-af12-af1ca074772f,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=1983,0.0,0.0,0.0
c2d90947-bc86-4b51-a82a-40d6d31dc172,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
