UUID,label,source,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,Cookies,URL,OutGoingLinks,JSGlobalVar,secure,session,httponly,session & httponly,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,sensitive
676f219a-4417-4c0d-90c3-2f62fc7fd193,0.0,CC,27.0,0.0,0.0,7.0,50.0,2.0,2.0,2.0,2.0,358.0,1048.0,6.0,http://206.189.95.117/pasaran-p16.php,12.0,16.0,0.0,3.0,0.0,0.0,24.0,6.0,0.0,214.0,16.0,11.0,5.0,1.0,5.0,0.0,1350.0,1312.0,38.0," | CERIA4D Bandar Agen Togel Online Aman Terpercaya """,1.0
760dd7e4-e73d-4c2b-aa4d-399e9f7cc418,0.0,CC,27.0,0.0,0.0,7.0,50.0,2.0,2.0,2.0,2.0,358.0,1048.0,0.0,http://206.189.95.117/pasaran-p17.php,12.0,16.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,214.0,16.0,11.0,5.0,1.0,5.0,0.0,1350.0,1312.0,38.0," | CERIA4D Bandar Agen Togel Online Aman Terpercaya """,1.0
c5b3d472-ccd5-4256-964e-efc8580a1701,0.0,CC,27.0,0.0,0.0,7.0,50.0,2.0,2.0,2.0,2.0,358.0,1048.0,6.0,http://206.189.95.117/pasaran-p18.php,12.0,16.0,0.0,3.0,0.0,0.0,24.0,6.0,0.0,214.0,16.0,11.0,5.0,1.0,5.0,0.0,1350.0,1312.0,38.0," | CERIA4D Bandar Agen Togel Online Aman Terpercaya """,1.0
a74fb339-fdd3-4baf-9fcb-96655d57e4de,0.0,CC,27.0,0.0,0.0,7.0,50.0,2.0,2.0,2.0,2.0,358.0,1048.0,6.0,http://206.189.95.117/pasaran-p19.php,12.0,16.0,0.0,3.0,0.0,0.0,24.0,6.0,0.0,214.0,16.0,11.0,5.0,1.0,5.0,0.0,1350.0,1312.0,38.0," | CERIA4D Bandar Agen Togel Online Aman Terpercaya """,1.0
4d8b6539-f2af-4237-96a8-f60e6a0ff693,0.0,CC,27.0,0.0,0.0,7.0,50.0,2.0,2.0,2.0,2.0,358.0,1048.0,0.0,http://206.189.95.117/pasaran-p2.php,12.0,16.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,214.0,16.0,11.0,5.0,1.0,5.0,0.0,1350.0,1312.0,38.0," | CERIA4D Bandar Agen Togel Online Aman Terpercaya """,1.0
352a14e9-82f2-4a35-ac70-afb0bae044ef,0.0,CC,27.0,0.0,0.0,7.0,50.0,2.0,2.0,2.0,2.0,358.0,1048.0,6.0,http://206.189.95.117/pasaran-p20.php,12.0,16.0,0.0,3.0,0.0,0.0,24.0,6.0,0.0,214.0,16.0,11.0,5.0,1.0,5.0,0.0,1350.0,1312.0,38.0," | CERIA4D Bandar Agen Togel Online Aman Terpercaya """,1.0
269552be-74a5-4dc8-b9b1-184315ee45f1,0.0,CC,27.0,0.0,0.0,7.0,50.0,2.0,2.0,2.0,2.0,358.0,1048.0,6.0,http://206.189.95.117/pasaran-p3.php,12.0,16.0,0.0,3.0,0.0,0.0,24.0,6.0,0.0,214.0,16.0,11.0,5.0,1.0,5.0,0.0,1350.0,1312.0,38.0," | CERIA4D Bandar Agen Togel Online Aman Terpercaya """,1.0
818fe098-e435-4ab3-a3eb-babd97361e5c,0.0,CC,33.0,0.0,0.0,6.0,50.0,2.0,2.0,2.0,2.0,472.0,1177.0,6.0,http://206.189.95.117/ref/pastijp88,9.0,13.0,0.0,3.0,0.0,0.0,78.0,8.0,0.0,47.0,21.0,14.0,7.0,2.0,16.0,0.0,446.0,335.0,111.0," | CERIA4D Bandar Agen Togel Online Aman Terpercaya """,1.0
4cf18549-65cd-4cd2-985f-b591ea4ef5b1,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,http://206.189.95.117/robots.txt,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Page Not Found,0.0
3273f610-3f49-4453-ba2b-8b58fce461ba,0.0,CC,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,128.0,296.0,3.0,http://206.189.95.117:88/,2.0,2.0,0.0,3.0,0.0,0.0,7.0,3.0,0.0,4.0,5.0,5.0,0.0,1.0,3.0,0.0,155.0,142.0,13.0,"CERIA4D Bandar Agen Togel Online Aman Terpercaya """,1.0
3b7158f5-53e9-4f95-ab3d-ceade625e150,0.0,CC,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,66.0,230.0,1.0,http://206.189.95.117:88/daftar.php,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,0.0,1.0,11.0,0.0,74.0,50.0,24.0,"Registration | CERIA4D Bandar Agen Togel Online Aman Terpercaya """,1.0
5b7a3e74-77d9-476b-8e8a-d959a452c6a6,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,http://206.189.95.117:88/robots.txt,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Page Not Found,0.0
59aaaea1-ba57-4c64-8697-5152484f19cf,0.0,CC,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,556.0,2221.0,0.0,http://156.35.95.117:8080/,3.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,13.0,3.0,2.0,1.0,0.0,0.0,0.0,57.0,30.0,27.0,WikiShape,0.0
f8b78279-bab4-4fd6-9b2f-b9a2ca2bff38,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://156.35.95.117:8080/robots.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,,0.0
e6e33084-7c31-441d-ba26-4904b5b26371,0.0,CC,16.0,0.0,0.0,88.0,80.0,5.0,5.0,5.0,3.0,543.0,2069.0,1.0,http://35.195.98.117/,6.0,159.0,0.0,0.0,1.0,0.0,360.0,8.0,1.0,25.0,18.0,3.0,15.0,1.0,4.0,1.0,564.0,144.0,420.0,Free Portfolio Landing Page - Gfgfgfd,1.0
bdc0ab38-4543-49a9-aab5-7b751bd74c50,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,http://35.195.98.117/robots.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,,0.0
e3194124-3809-46be-9996-a55250d6d119,0.0,CC,30.0,0.0,0.0,7.0,33.0,3.0,3.0,3.0,3.0,183.0,370.0,1.0,http://202.95.10.118/core/m/?ref=bonusmister&mobile=on,0.0,22.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,61.0,46.0,15.0,MisterDomino: Situs Judi Online Poker Dominoqq Terpercaya,0.0
71fe504a-b51f-4c71-ae5c-82153cdf8fc4,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,http://202.95.10.118/robots.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,Page Not Found,0.0
30b6b3ae-e70c-4604-ae5c-e68ca4995dce,0.0,CC,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,195.0,202.0,2.0,http://219.142.101.118/PaiShuiFangLao/,0.0,0.0,0.0,2.0,1.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,45.0,33.0,12.0,"
",1.0
2dfba354-070e-4709-ba00-317c16782414,0.0,CC,65.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1072.0,1226.0,1.0,http://219.142.101.118:8080/,1.0,89.0,0.0,1.0,1.0,1.0,17.0,1.0,1.0,2.0,35.0,32.0,3.0,1.0,4.0,0.0,106.0,69.0,37.0,å…¨å›½åŸŽå¸‚é»‘è‡­æ°´ä½“æ•´æ²»ç›‘ç®¡å¹³å°,1.0
2ce48fcd-073f-4cb5-a8c5-76b3161935ca,0.0,CC,65.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1072.0,1226.0,1.0,http://219.142.101.118:8080/login.jsp,1.0,89.0,0.0,1.0,1.0,1.0,17.0,1.0,1.0,2.0,35.0,32.0,3.0,1.0,4.0,0.0,106.0,69.0,37.0,å…¨å›½åŸŽå¸‚é»‘è‡­æ°´ä½“æ•´æ²»ç›‘ç®¡å¹³å°,1.0
1e234a16-d1b1-4188-bb75-55268a506f1c,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,http://85.222.101.118:33800/robots.txt,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,1.0,404 â€” Nie odnaleziono pliku lub katalogu.,0.0
c2a04b23-a91d-413b-9526-3261c4c87b6f,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,http://85.222.101.118:33800/robots.txt,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,1.0,404 â€” Nie odnaleziono pliku lub katalogu.,0.0
4d7c046b-d63d-4f85-90ec-52c5dcbcac63,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=107,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
096dfef4-bbe6-4421-80d7-d53444997d0c,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=108,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
9a40d84d-4682-43c3-bba1-2a6b14d21d81,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=117,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
f1813f14-b34d-4dbc-ac4b-f27f48721727,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=119,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
996dd1aa-e2ed-4dae-acfe-f80a51a92f4c,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=122,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
167faa23-a7f7-49ac-b811-4b1ab2e6995c,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=135,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
c1c903d9-9623-4b8e-a41f-2a1c3c5fbf8e,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=136,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
c4547cbe-b80d-4b7b-9e6a-68c8d9881a72,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=140,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
52022fab-2d25-423c-9a6e-3403e44813ee,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=142,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
8d1e465b-c813-459a-97f0-373cf14ed998,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=146,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
