UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly,folder,sensitive_label,span,button,sensitive_case1,sensitive_case2,sensitive_case3,sensitive_case4,hash_value
487636b9-9e78-49e1-9aab-69c06eca0af8,1.0,PT,72.0,2.0,2.0,1.0,8.0,4.0,4.0,0.0,3.0,0.0,2825.0,2735.0,90.0,Email Security and Phish/Spam Filter Update,4.0,0.0,0.0,0.0,32.0,34.0,0.0,0.0,68.0,71.0,7.0,8.0,7.0,5.0,4792.0,5318.0,http://emailfilter-update.sitebeat.site/,1.0,0.0,0.0,20200702_3,1.0,8.0,1.0,0.0,0.0,0.0,1.0,40045e97d7bffa0415927a5d6b300dd0dcce73df
2348d67c-248b-4103-9838-7587d72aa6b9,1.0,PT,39.0,2.0,3.0,10.0,17.0,12.0,5.0,1.0,6.0,1.0,150.0,77.0,73.0,DHLexpress - CONSULTA DOCUMENTO ELECTRÃ“NICO,1.0,0.0,1.0,1.0,29.0,24.0,0.0,0.0,17.0,67.0,3.0,3.0,3.0,2.0,616.0,962.0,http://asp403r.paperless.com.pe/ConsultaDHLExpress/,1.0,0.0,1.0,20200702_3,1.0,18.0,2.0,0.0,0.0,0.0,0.0,492e1a35b70253f7f2adef8f33c77ec05d798925
ffefefed-6f89-409c-b01f-a4c6fa9054f9,1.0,PT,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",3.0,0.0,1.0,0.0,19.0,30.0,0.0,0.0,37.0,0.0,5.0,8.0,7.0,3.0,2296.0,2948.0,http://vanprint.am/wp-admin/includes/Alibaba.com/Login.htm,48.0,0.0,0.0,20200702_3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,71779203ff67f2bc86eb9c12a71a34fa83bb004d
2354b053-62de-45dd-a469-625cfa84d46a,1.0,PT,53.0,5.0,1.0,35.0,16.0,14.0,2.0,0.0,2.0,0.0,177.0,89.0,88.0,Yolikers | Generate Auto Liker Token,5.0,0.0,1.0,1.0,96.0,41.0,0.0,0.0,100.0,64.0,11.0,16.0,12.0,3.0,502.0,1386.0,https://yolikers.com/token_gen.php,4.0,0.0,0.0,20200702_3,1.0,5.0,2.0,0.0,0.0,0.0,1.0,a883422e24d0d13665e458aa859f86cb04ae2a29
87371479-3870-4182-887c-73611c48b580,1.0,PT,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",2.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,37.0,0.0,5.0,8.0,7.0,3.0,964.0,1618.0,http://hasmob.com/assurance/alibaba.com/Login.htm,48.0,0.0,0.0,20200702_3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,824a8526a87ccb3c8b4774f537a7c76eff1c3076
de36862b-05dc-4078-a62f-2bd96d9ed3c0,1.0,PT,283.0,2.0,1.0,0.0,11.0,5.0,6.0,0.0,2.0,0.0,350.0,51.0,299.0,Black Wolf,3.0,1.0,1.0,1.0,41.0,15.0,0.0,0.0,100.0,57.0,6.0,7.0,8.0,3.0,793.0,2627.0,https://worldativelion.my-free.website/,0.0,0.0,0.0,20200702_3,1.0,11.0,0.0,0.0,0.0,0.0,1.0,f973e2afc43f58ee81a3fad324e373ead14bf746
2394d3b4-4310-4636-9a8a-a3a74cf3cb68,1.0,PT,154.0,1.0,1.0,0.0,11.0,5.0,6.0,0.0,2.0,0.0,214.0,46.0,168.0,Home,3.0,1.0,1.0,1.0,41.0,13.0,0.0,0.0,100.0,57.0,6.0,7.0,8.0,3.0,595.0,2398.0,https://skk-mailservice.my-free.website/,0.0,0.0,0.0,20200702_3,1.0,9.0,0.0,0.0,0.0,0.0,1.0,1088accaf2327a24076f0e43e96abda18b5f5762
b363f0ca-d451-4204-84c3-a5946a909d56,1.0,PT,177.0,0.0,4.0,0.0,13.0,7.0,6.0,0.0,3.0,1.0,247.0,59.0,188.0,HOME,3.0,1.0,1.0,1.0,50.0,17.0,0.0,0.0,100.0,67.0,8.0,9.0,10.0,3.0,919.0,2844.0,https://segurana.my-free.website/,0.0,0.0,0.0,20200702_3,1.0,12.0,0.0,0.0,0.0,0.0,1.0,e34e07a8ac9a7361880043a809fc8825aab325b7
833a5f60-fb04-499c-85da-c92c6161df07,1.0,PT,656.0,3.0,1.0,12.0,11.0,5.0,6.0,0.0,3.0,0.0,784.0,72.0,712.0,Home,3.0,1.0,1.0,1.0,41.0,19.0,0.0,0.0,100.0,50.0,6.0,8.0,9.0,3.0,1362.0,3357.0,https://customerservicesupport.my-free.website/,3.0,0.0,0.0,20200702_3,1.0,43.0,0.0,0.0,0.0,0.0,1.0,ceb8581b70e06ea38ed2441812ead02867b62e41
dac46a4f-f6dd-4f51-b7d6-69afebc61855,1.0,PT,361.0,1.0,6.0,0.0,13.0,7.0,6.0,0.0,8.0,2.0,457.0,63.0,394.0,Grossmont-Cuyamaca Community College District,3.0,1.0,1.0,1.0,50.0,19.0,0.0,0.0,100.0,67.0,8.0,9.0,10.0,3.0,803.0,2838.0,https://mailgcccdeduowa.my-free.website/,0.0,0.0,0.0,20200702_3,1.0,29.0,0.0,0.0,0.0,0.0,1.0,240cf957900895727191653908fa89d494cd5f98
84251320-1618-4db7-a4ee-4b4a5e995485,1.0,PT,309.0,2.0,1.0,5.0,11.0,5.0,6.0,0.0,2.0,0.0,393.0,48.0,345.0,HOME,3.0,1.0,1.0,1.0,41.0,16.0,0.0,0.0,100.0,57.0,6.0,7.0,8.0,3.0,702.0,2539.0,https://smsverificationmms.myfreesites.net/,0.0,0.0,0.0,20200702_3,1.0,25.0,0.0,0.0,0.0,0.0,1.0,a30c72ce7ca5c86935a88a1224e4cf6195d949c7
43111379-b8c1-45b4-9c79-c9a3a694ac8e,1.0,PT,158.0,2.0,1.0,0.0,11.0,5.0,6.0,0.0,2.0,0.0,221.0,49.0,172.0,HOME,3.0,1.0,1.0,1.0,41.0,15.0,0.0,0.0,100.0,57.0,6.0,7.0,8.0,3.0,658.0,2460.0,https://smsorangephonemail.myfreesites.net/,0.0,0.0,0.0,20200702_3,1.0,10.0,0.0,0.0,0.0,0.0,1.0,1d62f9aa06933d5e2c19abf3751ea293c89ac15c
7f8832ee-42a0-4962-8245-b28ba4cee47e,1.0,PT,166.0,1.0,1.0,0.0,11.0,5.0,6.0,0.0,2.0,0.0,231.0,53.0,178.0,HOME,3.0,1.0,1.0,1.0,41.0,14.0,0.0,0.0,100.0,57.0,6.0,7.0,8.0,3.0,674.0,2479.0,https://prosxsiuser.myfreesites.net/,0.0,0.0,0.0,20200702_3,1.0,10.0,0.0,0.0,0.0,0.0,1.0,341d7f9a126f3efc24b1b6dd6237b0a218e5226c
0a602f9c-a088-4d96-b6fc-6b50e010414f,1.0,PT,172.0,1.0,1.0,0.0,12.0,6.0,6.0,0.0,2.0,0.0,245.0,63.0,182.0,Home,3.0,1.0,1.0,1.0,53.0,15.0,0.0,0.0,100.0,63.0,6.0,9.0,8.0,3.0,639.0,2518.0,http://vtxmail2018.myfreesites.net/,0.0,0.0,0.0,20200702_3,1.0,16.0,0.0,0.0,0.0,0.0,1.0,e36d64af2d0810a9bbe11a1c5f250e5d187e3f7e
661dfa95-3694-47de-8bd1-2e1b8587f1e0,1.0,PT,149.0,1.0,1.0,0.0,11.0,5.0,6.0,0.0,2.0,0.0,214.0,52.0,162.0,Welcome,3.0,1.0,1.0,1.0,41.0,14.0,0.0,0.0,100.0,57.0,6.0,7.0,8.0,3.0,650.0,2447.0,http://smsenligne.myfreesites.net/,0.0,0.0,0.0,20200702_3,1.0,11.0,0.0,0.0,0.0,0.0,1.0,e658976e842be98a42e9b11af99fb614d9bbad07
3d440283-611b-4c12-803e-df1d91355f93,1.0,PT,171.0,2.0,1.0,0.0,11.0,5.0,6.0,0.0,2.0,0.0,238.0,52.0,186.0,Home,3.0,1.0,1.0,1.0,41.0,16.0,0.0,0.0,100.0,50.0,6.0,8.0,9.0,3.0,602.0,2411.0,http://smsorangesmsmessage.myfreesites.net/,0.0,0.0,0.0,20200702_3,1.0,12.0,0.0,0.0,0.0,0.0,1.0,45d922ee10988eb274a1ac1f9a5b804cea00718e
eed2a9de-6f76-4f9b-b3de-57e806ad37d2,1.0,PT,152.0,2.0,1.0,0.0,11.0,5.0,6.0,0.0,2.0,0.0,216.0,50.0,166.0,Home,3.0,1.0,1.0,1.0,41.0,15.0,0.0,0.0,100.0,57.0,6.0,7.0,8.0,3.0,671.0,2469.0,http://vxdse.myfreesites.net/,0.0,0.0,0.0,20200702_3,1.0,11.0,0.0,0.0,0.0,0.0,1.0,fd142d84117e7bd6e2b8b0d5ce8588d400585ba6
